nombre_japones,nombre,habilidades,contraataque_insecto,contraataque_siniestro,contraataque_dragon,contraataque_electrico,contraataque_hada,contraataque_lucha,contraataque_fuego,contraataque_volador,contraataque_fantasma,contraataque_planta,contraataque_tierra,contraataque_hielo,contraataque_normal,contraataque_veneno,contraataque_psiquico,contraataque_roca,contraataque_acero,contraataque_agua,ataque,pasos_base_para_eclosion,felicidad_base,total_base,Probabilidad_de_captura,clasificacion,defensa,crecimiento_experiencia,altura_(m),Puntos_de_salud,%_macho,No_Pokedex,ataque_especial,defensa_especial,velocidad,tipo1,tipo2,peso_(kg),generacion,es_legendario
Transelトランセル,Metapod,Shed Skin,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,50.0,11,25,25,30,Bug,Ninguno,9.9,1,0
Butterfreeバタフリー,Butterfree,"Compoundeyes, Tinted Lens",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,50.0,12,90,80,70,Bug,Flying,32.0,1,0
Beedleビードル,Weedle,"Shield Dust, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,50.0,13,20,20,50,Bug,Poison,3.2,1,0
Cocoonコクーン,Kakuna,Shed Skin,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,50.0,14,25,25,35,Bug,Poison,10.0,1,0
Spearスピアー,Beedrill,"Swarm, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1.0,65,50.0,15,15,80,145,Bug,Poison,29.5,1,0
Poppoポッポ,Pidgey,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,50.0,16,35,35,56,Normal,Flying,1.8,1,0
Pigeonピジョン,Pidgeotto,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,50.0,17,50,50,71,Normal,Flying,30.0,1,0
Pigeotピジョット,Pidgeot,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,50.0,18,135,80,121,Normal,Flying,39.5,1,0
Korattaコラッタ,Rattata,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,Mouse Pokémon,35,1000000,1.0,30,50.0,19,25,35,72,Normal,Dark,27.3,1,0
Rattaラッタ,Raticate,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,Mouse Pokémon,70,1000000,1.0,75,50.0,20,40,80,77,Normal,Dark,27.3,1,0
Onisuzumeオニスズメ,Spearow,"Keen Eye, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,50.0,21,31,31,70,Normal,Flying,2.0,1,0
Onidrillオニドリル,Fearow,"Keen Eye, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,50.0,22,61,61,100,Normal,Flying,38.0,1,0
Arboアーボ,Ekans,"Intimidate, Shed Skin, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,Snake Pokémon,44,1000000,2.0,35,50.0,23,40,54,55,Poison,Ninguno,6.9,1,0
Arbokアーボック,Arbok,"Intimidate, Shed Skin, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,50.0,24,65,79,80,Poison,Ninguno,65.0,1,0
Pikachuピカチュウ,Pikachu,"Static, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,50.0,25,50,50,90,Electric,Ninguno,6.0,1,0
Raichuライチュウ,Raichu,"Static, Lightningrod, Surge Surfer",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Mouse Pokémon,50,1000000,1.0,60,50.0,26,95,85,110,Electric,Electric,27.3,1,0
Sandサンド,Sandshrew,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,Mouse Pokémon,90,1000000,1.0,50,50.0,27,10,35,40,Ground,Ice,27.3,1,0
Sandpanサンドパン,Sandslash,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Mouse Pokémon,120,1000000,1.0,75,50.0,28,25,65,65,Ground,Ice,27.3,1,0
Nidoran?ニドラン♀,Nidoran♀,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,0.0,29,40,40,41,Poison,Ninguno,7.0,1,0
Nidorinaニドリーナ,Nidorina,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,0.0,30,55,55,56,Poison,Ninguno,20.0,1,0
Nidoqueenニドクイン,Nidoqueen,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,0.0,31,75,85,76,Poison,Ground,60.0,1,0
Nidoran?ニドラン♂,Nidoran♂,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,100.0,32,40,40,50,Poison,Ninguno,9.0,1,0
Nidorinoニドリーノ,Nidorino,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,100.0,33,55,55,65,Poison,Ninguno,19.5,1,0
Nidokingニドキング,Nidoking,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,100.0,34,85,75,85,Poison,Ground,62.0,1,0
Pippiピッピ,Clefairy,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,24.6,35,60,65,35,Fairy,Ninguno,7.5,1,0
Pixyピクシー,Clefable,"Cute Charm, Magic Guard, Unaware",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,24.6,36,95,90,60,Fairy,Ninguno,40.0,1,0
Rokonロコン,Vulpix,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,Fox Pokémon,40,1000000,1.0,38,24.6,37,50,65,65,Fire,Ice,27.3,1,0
Kyukonキュウコン,Ninetales,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Fox Pokémon,75,1000000,1.0,73,24.6,38,81,100,109,Fire,Ice,27.3,1,0
Purinプリン,Jigglypuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,24.6,39,45,25,20,Normal,Fairy,5.5,1,0
Pukurinプクリン,Wigglytuff,"Cute Charm, Competitive, Frisk",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,24.6,40,85,50,45,Normal,Fairy,12.0,1,0
Zubatズバット,Zubat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,50.0,41,30,40,55,Poison,Flying,7.5,1,0
Golbatゴルバット,Golbat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,50.0,42,65,75,90,Poison,Flying,55.0,1,0
Nazonokusaナゾノクサ,Oddish,"Chlorophyll, Run Away",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,50.0,43,75,65,30,Grass,Poison,5.4,1,0
Kusaihanaクサイハナ,Gloom,"Chlorophyll, Stench",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,50.0,44,85,75,40,Grass,Poison,8.6,1,0
Ruffresiaラフレシア,Vileplume,"Chlorophyll, Effect Spore",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,50.0,45,110,90,50,Grass,Poison,18.6,1,0
Parasパラス,Paras,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,50.0,46,45,55,25,Bug,Grass,5.4,1,0
Parasectパラセクト,Parasect,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1.0,60,50.0,47,60,80,30,Bug,Grass,29.5,1,0
Kongpangコンパン,Venonat,"Compoundeyes, Tinted Lens, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,Insect Pokémon,50,1000000,1.0,60,50.0,48,40,55,45,Bug,Poison,30.0,1,0
Morphonモルフォン,Venomoth,"Shield Dust, Tinted Lens, Wonder Skin ",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,50.0,49,90,75,90,Bug,Poison,12.5,1,0
Digdaディグダ,Diglett,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,Mole Pokémon,30,1000000,1.0,10,50.0,50,35,45,90,Ground,Ground,27.3,1,0
Dugtrioダグトリオ,Dugtrio,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,Mole Pokémon,60,1000000,1.0,35,50.0,51,50,70,110,Ground,Ground,27.3,1,0
Nyarthニャース,Meowth,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,1.0,40,50.0,52,50,40,90,Normal,Dark,27.3,1,0
Persianペルシアン,Persian,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,1.0,65,50.0,53,75,65,115,Normal,Dark,27.3,1,0
Koduckコダック,Psyduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,50.0,54,65,50,55,Water,Ninguno,19.6,1,0
Golduckゴルダック,Golduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,50.0,55,95,80,85,Water,Ninguno,76.6,1,0
Mankeyマンキー,Mankey,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,50.0,56,35,45,70,Fighting,Ninguno,28.0,1,0
Okorizaruオコリザル,Primeape,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1.0,65,50.0,57,60,70,95,Fighting,Ninguno,32.0,1,0
Gardieガーディ,Growlithe,"Intimidate, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,75.4,58,70,50,60,Fire,Ninguno,19.0,1,0
Windieウインディ,Arcanine,"Intimidate, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,75.4,59,100,80,95,Fire,Ninguno,155.0,1,0
Nyoromoニョロモ,Poliwag,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,50.0,60,40,40,90,Water,Ninguno,12.4,1,0
Nyorozoニョロゾ,Poliwhirl,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1.0,65,50.0,61,50,50,90,Water,Ninguno,20.0,1,0
Nyorobonニョロボン,Poliwrath,"Water Absorb, Damp, Swift Swim",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,50.0,62,70,90,70,Water,Fighting,54.0,1,0
Caseyケーシィ,Abra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,75.4,63,105,55,90,Psychic,Ninguno,19.5,1,0
Yungererユンゲラー,Kadabra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,75.4,64,120,70,105,Psychic,Ninguno,56.5,1,0
Foodinフーディン,Alakazam,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,75.4,65,175,105,150,Psychic,Ninguno,48.0,1,0
Wanrikyワンリキー,Machop,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,75.4,66,35,35,35,Fighting,Ninguno,19.5,1,0
Gorikyゴーリキー,Machoke,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,75.4,67,50,60,45,Fighting,Ninguno,70.5,1,0
Kairikyカイリキー,Machamp,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,75.4,68,65,85,55,Fighting,Ninguno,130.0,1,0
Madatsubomiマダツボミ,Bellsprout,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,50.0,69,70,30,40,Grass,Poison,4.0,1,0
Utsudonウツドン,Weepinbell,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1.0,65,50.0,70,85,45,55,Grass,Poison,6.4,1,0
Utsubotウツボット,Victreebel,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,50.0,71,100,70,70,Grass,Poison,15.5,1,0
Menokurageメノクラゲ,Tentacool,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,50.0,72,50,100,70,Water,Poison,45.5,1,0
Dokukurageドククラゲ,Tentacruel,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,50.0,73,80,120,100,Water,Poison,55.0,1,0
Isitsubuteイシツブテ,Geodude,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,255,Rock Pokémon,100,1059860,1.0,40,50.0,74,30,30,20,Rock,Ground,27.3,1,0
Goloneゴローン,Graveler,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,120,Rock Pokémon,115,1059860,1.0,55,50.0,75,45,45,35,Rock,Ground,27.3,1,0
Golonyaゴローニャ,Golem,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,45,Megaton Pokémon,130,1059860,1.0,80,50.0,76,55,65,45,Rock,Ground,27.3,1,0
Ponytaポニータ,Ponyta,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1.0,50,50.0,77,65,65,90,Fire,Ninguno,30.0,1,0
Gallopギャロップ,Rapidash,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,50.0,78,80,80,105,Fire,Ninguno,95.0,1,0
